NEVO-code,productnaam,energie_kcal,koolhydraten_g,eiwitten_g,vetten_g
1599,Fructosepoeder,396,99.0,0.0,0.0
1601,Gehaktbal runder- z ei gebakken,304,5.5,26.5,19.4
1605,Bokking gestoomd,231,0.5,20.8,16.2
1607,Sprotfilet gerookt,212,0.0,19.9,14.8
1608,Makreel bereid in magnetron z toev,248,0.0,24.4,16.7
1609,Makreel in olie blik,267,0.1,20.0,20.7
1610,Zalm kweek- bereid in magnetron z toev,220,0.0,25.2,13.2
1611,Forel bereid in magnetron z toev,140,0.0,24.5,4.6
1612,Forel regenboog- bereid in magnetron z toev,167,0.0,23.7,8.0
1613,Kabeljauw bereid in magnetron z toev,98,0.0,23.5,0.4
1614,Schelvis bereid in magnetron z toev,100,0.0,22.3,1.2
1615,Koolvis (Atlantisch) bereid in magnetron z toev,108,0.0,24.5,1.2
1616,Wijting bereid in magnetron z toev,101,0.0,22.1,1.4
1617,Schol bereid in magnetron z toev,140,0.0,29.0,2.6
1618,Schar/tongschar bereid in magnetron z toev,119,0.0,23.9,2.6
1619,Tong bereid in magnetron z toev,116,0.0,24.5,2.1
1620,Bot bereid in magnetron z toev,106,0.0,21.9,2.0
1621,Poon bereid in magnetron z toev,171,0.0,26.1,7.4
1622,Baars rood- bereid in magnetron z toev,128,0.0,22.3,4.3
1623,Zeewolf bereid in magnetron z toev,127,0.0,25.2,2.9
1624,Paling bereid in magnetron z toev,207,0.0,24.3,12.2
1625,Paling zee- bereid in magnetron z toev,199,0.0,24.3,11.4
1627,Kuit/hom gebakken,262,3.9,13.9,21.2
1628,Kuit/hom v bokking,155,0.0,24.5,6.3
1629,Kuit vis- gekleurd glas,126,0.0,19.0,5.5
1630,Mosselen in zuur glas,106,2.2,17.2,3.1
1631,Garnalen in water blik,115,0.1,24.3,1.9
1632,Inktvis pijl- bereid in magnetron z toev,146,0.0,25.8,4.7
1633,Kip m vel bereid,226,0.0,25.3,13.8
1634,Kipfilet rauw,109,0.0,23.3,1.8
1635,Kip z vel bereid,183,0.0,27.3,8.2
1641,Kiprollade bereid,166,1.7,24.0,7.0
1642,Kiprollade rauw,175,0.2,20.6,10.3
1643,Kipnuggets bereid in oven,259,18.4,14.4,13.7
1644,Kipnuggets bereid m frituurvet,277,12.2,17.5,17.1
1645,Kipburger gepaneerd bereid,307,9.9,14.5,23.2
1646,Varkenslappen bereid,204,0.4,29.8,9.2
1647,Varkensribkarbonade bereid,177,0.0,28.4,7.1
1650,Kaas geiten- verse,207,1.0,13.4,16.6
